age,sex,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
44,Female,418511,384575,357899,346275,334363,330467,333671,336205,333032,341661,352564,363833,369180,376295,391330,403430,413522,421388,425307,422255,419126,414220,415119,404540,415605,400660,384556,369598,362318,355197
45,Female,326544,416047,383873,357280,345389,333813,330146,332946,336158,333596,340835,351510,363313,368285,375836,390570,403322,413363,421122,424585,421546,419132,414284,415165,404949,416289,400891,385049,369438,362174
46,Female,322622,326658,414362,383650,356506,344947,333367,329870,332835,336325,332908,340035,351064,362279,367918,375153,390122,403260,412769,420517,424010,421335,419109,414422,415608,405589,416520,401192,384993,369329
47,Female,323505,322527,326908,412159,382817,355775,344124,332669,329718,332880,335467,331779,339604,350112,361580,367232,374755,389700,402873,411826,420061,423796,421414,419195,414873,415877,405667,416845,401024,384646
48,Female,306563,322389,322366,327153,410164,382314,355059,343459,332212,329854,331838,334374,331031,338693,349554,360689,366765,374457,388977,402218,410972,419840,423728,421586,419608,415029,415896,406090,416836,400894
49,Female,279983,306059,321391,322292,326881,408596,381719,354290,342941,331993,329085,330952,333686,329828,338083,348739,360038,366456,373858,387964,401573,410600,419714,423989,421967,419732,415092,416040,406320,416884
50,Female,258544,279118,305292,320244,321755,326798,406754,380978,353487,342681,331011,328175,329653,332138,328519,337130,347489,359297,365612,372918,387883,401028,410237,419765,424113,421884,419542,415130,416100,406236
51,Female,274122,258626,278382,304764,319073,321324,326494,405010,380163,353159,341672,330264,326346,328300,330902,327373,335881,346861,358306,364704,372818,387240,400590,410086,419939,424016,421803,419486,415151,415958
52,Female,277696,273580,258498,277481,303802,317872,320738,326196,403016,379741,352026,340792,328574,324492,327273,329734,325911,335361,345887,357023,364657,372177,386604,400317,409837,419537,423608,421439,419196,414663
53,Female,275443,276814,272707,258092,276514,302948,316673,319964,325653,401660,378551,350980,339052,326833,322929,326252,328238,324978,334505,344733,356694,363922,371316,386267,400019,409559,419033,423144,420844,418498
54,Female,269506,274755,275952,272125,258098,275455,301966,314896,319599,326188,398068,376952,349040,337189,325292,321411,324974,327399,323778,333378,344514,355985,363163,370807,385737,399538,409007,418559,422430,420210
55,Female,266070,268710,273716,274952,271053,257573,274400,300915,313618,319013,325315,397707,373967,347108,335359,324038,320252,323160,326692,322905,332680,343714,355275,362625,370246,385123,398759,408404,417699,421717
56,Female,260191,265121,267950,272698,273778,270248,257374,273136,299913,311935,318212,323418,395878,371229,344993,333980,322994,317894,322585,325730,321939,331771,342827,354701,362060,369729,384474,398188,407513,416832
